,Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
58423,2015-09-04 00:00:00,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,"Common wealth financial systems reported on all XXXX of my credit reports on XXXX and changed the status to "" collection '' on XXXX/XXXX/XXXX. This debit was discharged XXXX XXXX in chapter XXXX bankruptcy. I contacted Common wealth financial systems at XXXX spoke with the supervisor XXXX XXXX and he stated to me "" this is not common wealth 's problem because they have this debit reported as in collections as of XXXX XXXX '' He was informed the debit was discharged in chapter XXXX in XXXX XXXX and he stated "" Common wealth does not investigate this and as of XXXX XXXX it is a collection that is due ''. What can i do about this stuff being reported to my credit. I have submitted packages to XXXX, XXXX and XXXX in XXXX XXXX to dispute the XXXX XXXX acct placed on my credit and Common wealth updated the status on XXXX/XXXX/XXXX to "" collections '' I have been denied credit since XXXX XXXX and most recent XXXX XXXX reporting. _x000D_",Company believes it acted appropriately as authorized by contract or law,"Commonwealth Financial Systems, Inc.",OK,731XX,Servicemember,Consent provided,Web,2015-10-04 00:00:00,Closed with explanation,Yes,Yes,1322692
58436,2015-09-04 00:00:00,Debt collection,Payday loan,Cont'd attempts collect debt not owed,Debt is not mine,"I received phone calls approximately XXXX months ago about a delinquent payday loan. I never took out this payday loan and the money the company said was deposited in my checking account never was so the debt is completely false. Now I have Aargon Collection Agency out of XXXX XXXX, Nevada trying to collect this same debt and providing no debt verification even though I can prove through bank records that the payday loan was never applied for or received. _x000D_",Company can't verify or dispute the facts in the complaint,"Aargon Agency, Inc.",WI,541XX,Servicemember,Consent provided,Web,2015-09-04 00:00:00,Closed,Yes,No,1322711
58903,2016-09-12 00:00:00,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,"I have an unverified account from MEADE & ASSOC. I had previously disputed this account. I have never done business with MEADE & ASSOC. Pursuant to the Fair Debt Collection Practices Act ( FDCPA ) 15 U.S.C.1692g, I dispute the validity of the debt purport I owe. I request that MEADE & ASSOC Provide verification of the following : 1. The original Application or contract ; 2. Any and all statements allegedly related to this debt ; 3. Any and all signed receipts ; 4. Any and all canceled checks ; 5. Original date of default and collection activity begin 6. Whether you purchased the debt, and if so, the amount paid for the debt 7. The date ( s ) the debt allegedly accrued ; 8. An itemization of the costs, including an accounting, for any additional interest, charges, or other fees placed on this account. I want to request that MEADE & ASSOC Cease and Desist all further communications and collection actives and provide the verification of the purported debt.",Company believes it acted appropriately as authorized by contract or law,"Meade & Associates, Inc.",OH,432XX,Servicemember,Consent provided,Web,2016-09-12 00:00:00,Closed,Yes,No,2243947
59002,3/20/15,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt resulted from identity theft,"Someone applied for a pell grant in my name and social but at a different address and with my first name misspelled. They defaulted on the Pell grant but collected the money that was sent to their address. I was contacted by the Department of Education saying that I owed this money. I told them that I did not sign for this grant and did not attend XXXX XXXX College, this was not my debt. I had already gotten my XXXX degree 15 years ago. They started to garnish my wages anyways. I filled Police Reports, FTC Complaints, Notified the Credit Reporting Agencies and Placed Extended Fraud Alerts, Disputed Information, Notified the Department of Education, the College, and the Collection Agency and Filed Paperwork with the Department of Education. The Department of Education has rejected my claims and said that this is my debt and continues to garnish my wages. They said that they will not stop unless I get a court judgement. I can not get a court judgement when I do not know who the person is that stole my identity. I have called several places but every where is a dead end, no one can seem to help me. Every one says that if it was a student loan then it would be a different story and then they could help me, but since it is a Federal Pell grant, there is nothing that they can do. The Department of Education is Rude and MEAN to me, they treat me like a criminal and will not offer me any help. I am not the criminal, I am the VICTIM. I need help. I need to know how to stop the garnishment, get my money back, and clear my name. Please help me. _x000D_",Company believes it acted appropriately as authorized by contract or law,"Coast Professional, Inc.",CA,923XX,Servicemember,Consent provided,Web,3/20/15,Closed with explanation,Yes,No,1294000
59014,3/20/15,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,"I sent a letter and have yet to receive a response. Unfortunately, I was the victim of identity theft. I have done everything required of me by law to dispute the fraudulent items on my credit report. I sent a letter to "" American Credit Acceptance '' on XX/XX/2014 via USPS certified mail. The company refuses to honor my rights under the FDCPA & the FCRA as a victim of identity theft to remove the fraudulent inquiry that was submitted without my knowledge, consent and/or authorization. _x000D__x000D_Please find attached the notice that was sent out along with the attached certified receipt. Information can be tracked online using referenced information. Thank you for you time and attention regarding the matter. _x000D_",Company believes it acted appropriately as authorized by contract or law,"American Credit Acceptance, LLC",MD,207XX,Servicemember,Consent provided,Web,3/25/15,Closed with explanation,Yes,Yes,1294302
59066,2015-06-04 00:00:00,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"FOCUS RECEIVABLES MANAGEMENT has been calling and harassing me about a bill owed to XXXX. _x000D_I haved contacted XXXX XXXX and the company states they have no record of me evering having there service or owing a bill with there company. _x000D_I have told Focus Receivables Management on numerous phone calls this information and have asked for proof from there company showing I owe this debt. _x000D_Now this company are reporting a collection account with all three credit bureaus listed under my name, which is ruining my credit standing. _x000D_I asked for them to delete this false information from my credit reports without any luck. _x000D_",Company believes it acted appropriately as authorized by contract or law,Focus Holding Company,NY,129XX,Servicemember,Consent provided,Web,2015-08-04 00:00:00,Closed with explanation,No,No,1316648
59164,2015-09-04 00:00:00,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,"This company Atlantic Credit and Finance is calling me up to 5 times a day on my cell number. From phone number XXXX as well as calling my work phone number. They were never given permission to contact me at work, or harass me at my place of business. I find their multiple calls daily very harassing. I have blocked their number so now they call me at work. I have asked them to no longer call there either because I am not allowed to take personal calls at work. _x000D_",Company chooses not to provide a public response,"Atlantic Credit & Finance, Inc.",TX,791XX,Servicemember,Consent provided,Web,2015-09-04 00:00:00,Closed with non-monetary relief,Yes,No,1323810
59375,3/21/15,Payday loan,Payday loan,Can't contact lender,Can't contact lender,"I hired a company to deal with Cash Express in XXXX TN but the manager of the store has written me a letter threatening civil action. Their corporate office sends letters like XXXX or XXXX at a time. The company I hired said they have contacted them but they do n't let up. Address : XXXX XXXX XXXX XXXX, XXXX, TN XXXX : ( XXXX ) XXXX This is their corporate headquarters. I am on XXXX and I could no longer afford the outrageous fees they were charging. _x000D_",Company disputes the facts presented in the complaint,"Cash Express, LLC",TN,377XX,Older American,Consent provided,Web,3/21/15,Closed with explanation,No,No,1294754
59929,3/26/15,Debt collection,"Other (i.e. phone, health club, etc.)",Taking/threatening an illegal action,Threatened arrest/jail if do not pay,XXXX XXXX called several relatives and friends about a payday loan from 2009 and stated to them and to me that charges of profit by deceit through a financial institution is filed and felony of the third degree warrants are out for me now and to stop the process i need to pay today. i asked for verification of the debt she would not provide it. i said i need to record this conversation and she hung up. _x000D_i called her back and left message that i have the money to pay to call me back. when she called back i informed her i was recording ( which i was n't ) she stated that she ca n't be under recording and hung up. the number i called is XXXX _x000D_,Company believes complaint caused principally by actions of third party outside the control or direction of the company,"Enova International, Inc.",OH,453XX,Servicemember,Consent provided,Web,3/26/15,Closed with explanation,Yes,No,1303387
59947,3/23/15,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,stellar recovery dba XXXX keeps putting open accounts marked as past due on my credit reports i have disputed and had them removed 4 times since XX/XX/2014 they keep adding them back on my credit report even after admitting that these accounts are n't mine ... this is having a very negative affect on my scores and preventing me from buying a house _x000D_,Company can't verify or dispute the facts in the complaint,Stellar Recovery Inc.,GA,302XX,Servicemember,Consent provided,Web,3/27/15,Closed with explanation,Yes,No,1296269
60149,3/27/15,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,National Commercial Services sent me a letter dated XX/XX/XXXX alleging I owed them approximated {$320.00} and alleged my XXXX. I do not believe my XXXX. I have no evidence to support that and there is court judgment. I responded with a certified letter sent XX/XX/XXXX and received confirmation of receipt on XXXX _x000D_,Company chooses not to provide a public response,"National Commercial Services, Inc",KS,672XX,Servicemember,Consent provided,Web,3/27/15,Closed with explanation,Yes,No,1304236
60545,2015-11-04 00:00:00,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,"I have received repeated calls from this Malcom S Gerald & Associates. Every time I call them back, they do not answer and I have yet to speak to a live person. _x000D_They have been calling many times and never leave a voice message. I do not know who this company is or why they are contacting me as I have never received anything in writing from them. _x000D_",Company believes it acted appropriately as authorized by contract or law,"Malcolm S. Gerald and Associates, Inc.",NJ,080XX,Servicemember,Consent provided,Web,4/22/15,Closed with explanation,Yes,Yes,1326281
60549,2015-02-04 00:00:00,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,"XX/XX/XXXX, I terminated my lease 2 months early with XXXX XXXX in XXXX, TX. I followed all of the rules in the contracts, and addendum, regarding early termination. _x000D__x000D_In XX/XX/XXXX I received a letter from XXXX XXXX XXXX that they were trying to collect a debt of {$1300.00}. XXXX was charging me for a deposit due to early termination. I called and sent a letter requesting that they validate the debt. Their response was a copy of my lease with a letter that stated 'it was validated '. From there, I replied with a letter outlining the specifics of the lease and provided them with a copy of these and the early termination addendum asking them to correct the outstanding amount and validate the debt again. We went back and forth for two months. I had little success and their verbal response was to get a lawyer. _x000D__x000D_Because the leasing company and debt collection agency were rude, not compliant and not providing an adequate response, I filed a complaint to the XXXX on XXXX. _x000D__x000D_On XX/XX/XXXX I received a derogatory remark for {$1300.00} ( my balance was still being disputed with XXXX and National Credit Services ). _x000D__x000D_On XXXX XXXX, I received a letter from XXXX that my balance was corrected to {$200.00} When I contacted XXXX and XXXX on XX/XX/XXXX regarding the derogatory remark on my credit, they would not remove the remark from my credit report. Instead, they would show the balance as paid. National Credit Services and XXXX realty did not provide me with XXXX from the date the debt was validated to pay may balance before affecting my credit. The debt was not truly validated until XXXX which should allow me to pay the debt off by XX/XX/XXXX. _x000D__x000D_When contacting XXXX and NCS regarding the above, they lack professionalism by hanging up with me, bullying me by talking over or saying they will disconnect the call if I 'm not calling to make a payment, and telling me that there is no way for this to be removed from my credit report. I have made many efforts and walked them through the process but have been unsuccessful with finding a resolution. _x000D_",Company believes it acted appropriately as authorized by contract or law,"National Credit Systems,Inc.",TX,770XX,Servicemember,Consent provided,Web,4/20/15,Closed with explanation,Yes,No,1312625
60700,4/16/15,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"i was charged for a apartment debt, while i was XXXX in XXXX with the XXXX, i was protected by the military clause and they wo n't remove the debt. _x000D_",Company believes it acted appropriately as authorized by contract or law,"National Credit Systems,Inc.",CO,809XX,Servicemember,Consent provided,Web,4/16/15,Closed with explanation,Yes,No,1333686
60804,2015-07-04 00:00:00,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,"I have been monitoring my credit carefully for the last 6 months. I am applying for a home loan. I was notified today that Progressive Management XXXX is now reporting a new collection account for a medical bill. I have been at my address for over 2 years and I have not received a single notice or call from Progressive to validate this debt accrding to the Fair Debt Collection Practices Act, 15 USC 1692g Sec. 809 ( b ). They have made no attempt to obey the law. I have faxed them a request to validate the debt and a copy of their HIPPA compliant agreement with the creditor. I have not had any medical bills that would fall under this category so I believe they are simply re-aging this account. _x000D_",Company believes it acted appropriately as authorized by contract or law,"R.M. Galicia, Inc.",CA,923XX,Servicemember,Consent provided,Web,4/14/15,Closed with non-monetary relief,Yes,No,1318389
60878,2015-08-04 00:00:00,Debt collection,Credit card,False statements or representation,Indicated committed crime not paying,"After contacting Citibank, when XXXX XXXX XXXX would n't allow me to make payment arrangements, they contacted me and told me to contact them. Citibank gave me XXXX wrong contact number. Citibank gave me the following number XXXX, which is the XXXX XXXX service desk. I XXXX number XXXX, called them XXXX, and was forwarded to a machine to leave my name and contact number. I did that, the first contact was XX/XX/2015, the last contact being XX/XX/2015, and no one has returned both calls. _x000D_",Company chooses not to provide a public response,Citibank,NY,138XX,Servicemember,Consent provided,Web,2015-08-04 00:00:00,Closed with explanation,Yes,No,1320459
61124,4/13/15,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,"I keep getting calls on my cell phone from this debt collector. I do not have any debts outstanding now or from the past I have been receiving calls from a XXXX for over 5 months. I have the number blocked and they keep calling my cell phone. I have researched these XXXX and it appears to be a company called First National Collections Bureau. These XXXX are relentless from what I have read on the internet, it appears that the government has done little to nothing to stop these XXXX. I bet if these XXXX started to call the FTC or some other government agency something would be done to shut them down. So for now all I can do is be another complaint about a company that needs to spend some jail time and not a fine or slap on the wrist for harassment. Thanks XXXX from Oklahoma. _x000D_",Company can't verify or dispute the facts in the complaint,"First National Collection Bureau, Inc.",OK,735XX,"Older American, Servicemember",Consent provided,Web,4/16/15,Closed with explanation,Yes,No,1327797
61482,2015-07-05 00:00:00,Debt collection,I do not know,Disclosure verification of debt,Not given enough info to verify debt,"I have been monitoring my credit since a XXXX XXXX incident last year. All of a sudden a {$0.00} amount shows up:XXXX _x000D_XXXX {$0.00} XXXX. XXXX, XXXX current debts have been addressed. This may be an attempt to collect a debt that is past the 7 years statute of limitation in Georgia. I deny having any outstanding debt to this company. I have had no communications with them. I challenge the company to provide proof / original documents. _x000D_",Company chooses not to provide a public response,Holloway Credit Solutions,GA,303XX,Servicemember,Consent provided,Web,2015-07-05 00:00:00,Closed with explanation,Yes,No,1366146
61914,4/28/15,Debt collection,I do not know,Communication tactics,Threatened to take legal action,"Recieved call stating BOA had aquired a loan from prior to 2010. Being very ill, I gave my wife permission to speak with them. She was extremely RUDE and kept telling my wife not to interupt her. She would NOT tell her anything except Bankj of America had just aquired the loan & they want thier money. When my wife tried to get any info as to what the loan was about, she said we could settle the debt right now but would not say anything more than it was an old loan that BOA had just aquired and no other info from whom the loan was aquired. She finally said we would be sued and taken to court and abruptly HUNG UP on my wife. I called here back and tried to get the info from her. She was so rude and ignorant, I could not believe this woman. She said "" NOW YOU WANT TO TALK TO ME '' "" if you want to know anything, ASK YOUR WIFE. I wanted to know how I can settle a debt when she would not tell me who the debtor was. I have to admit I became HIGHLY AGITATED and did use some abusive language and hung up on her when I could get NO INFO and all she was doing was yelling at me. My wife called back and tried to talk to someone else and they once again immediately hung up the phone without speaking, as soon as they determined who was calling. _x000D__x000D_To summarize this whole situation. The person who called was XXXX and she was mean and very rude. She told my wife this debt has to be settled today but would not reveal from whom BOA aquired the loan. After giving us NO INFO she said to ge3t a lawyer because they are going take us to court and sue us. I 'm not sure if the company name and representive is correct. They did not identify themselves except to say there is a claim against me. The phone numbers were left on the answering machine and taken from my caller ID. _x000D_",Company chooses not to provide a public response,Bank of America,FL,349XX,"Older American, Servicemember",Consent provided,Web,4/28/15,Closed with explanation,Yes,No,1350267
62039,2015-07-05 00:00:00,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt resulted from identity theft,"Briefly, a nightmare involving Identity Theft dating back to XX/XX/XXXX when someone open a credit card using my personal information. _x000D_SEE ATTACHED COMPLAINT LETTER dated XXXX XXXX. _x000D_This was supposedly resolved with XXXX XXXX in XXXX. _x000D_A company named Dynamic Recovery Solutions appears to be abusively recycling this old XXXX account even though they were responded to in XX/XX/XXXX and it appears that they may be doing this with XXXX 's help. _x000D_A total nightmare going back over 20 years that should simply never be allowed to happen. _x000D_",Company believes complaint represents an opportunity for improvement to better serve consumers,"Dynamic Recovery Solutions, LLC",AZ,857XX,Older American,Consent provided,Web,2015-07-05 00:00:00,Closed with non-monetary relief,Yes,Yes,1365899
62172,4/14/15,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,"On XX/XX/XXXX I suffered a XXXX. it was so severe that I past out. My wife called the City of XXXX XXXX Fire Dept and, still XXXX I was transfered to XXXX XXXX City Hospital. The amulance Services charged my insurance, XXXX primary and XXXX XXXX, secondary the amoun t of {$1400.00}. For unexplained reasons XXXX denied payment. XXXX XXXX paid {$1000.00}. I was never billed for the remaining balance till last XXXX XXXX when I received a letter from Harris & Harris, a collection agency, charging me {$500.00}. On XXXX XXXX I contacted City of XXXX ambulance services. They accepted that they had not billed me at my right address and a lady by the name XXXX assured me that her office "" would pull out '' the charges from Harris & Harris and would check the status of my account since my secondary had already paid most of the charges and more than 2 years had already past. However, I am still receiving calls from Harris & Harris, even on Sunday mornings, when they call me at around XXXX Pacific time. They have called me at night, well after XXXX playing a recorded message demanding payment of the debt. On XX/XX/XXXX I called Harris and spoke with a gentleman named XXXX who apologized for the inconvenience and, again, assured m that they will withdraw the charges since his records showed that XXXX XXXX had paid a portion a XXXX, according to him, had made a payment on the account. Still, I keep on receiving the pre-recorded messages. On XXXX XXXX at XXXX I received yet another call despite all the promises of pulling out those charges for which the XXXX Ambulances Services has already been paid for. _x000D_",Company believes it acted appropriately as authorized by contract or law,"Harris & Harris, Ltd.",CA,910XX,Older American,Consent provided,Web,4/14/15,Closed with explanation,Yes,No,1329208
